Institution,ED Acceptance Rate,Overall Acceptance Rate,Regular Acceptance Rate,% Submitting SAT,% Submitting ACT,SAT Math (25th-75th),SAT R/W (25th-75th),ACT (25th-75th),International Student Acceptance Rate,Demonstrated Interest,Early Decision I deadline,Early Decision II deadline,Early Action I deadline,Early Action II deadline,Regular Decision Decision,Cost of Attendance,% Receiving Merit Aid (No Need),Avg Merit Award,% of Need Met,Avg Need-Based Grant,% Living On-Campus,On-Campus Housing Requirement,Median Earnings (6 Years),Median Earnings (10 Years),20-Year Net ROI,Freshman Retention Rate,4-Year Graduation Rate,6-Year Graduation Rate,Notable Scholarships/Programs,Computer Science Graduate Median Starting Salary,City,State,Avg Jan Temp,Avg April Temp,Avg July Temp,Avg Oct Temp,Days w/ Precipitation,Sunny Days,Total Undergraduate Enrollment,% Female,% Male,% African-American,% Asian,% Hispanic,% White,% Unknown,% International
Vassar College,N/A,Not Reported,Not Reported,31%,12%,720-780,728-770,33-35,4%,Not Considered,-,-,-,-,Jan 1,"$96,020",0%,$0,100%,"$63,831",97%,Through Senior Year,"$49,177","$71,366","$787,000",95%,84%,91%,,,Poughkeepsie,NY,35°/15°,60°/36°,84°/61°,63°/39°,125,165,"2,462",62%,38%,4%,12%,14%,54%,,6%
Villanova University,N/A,Not Reported,Not Reported,19%,9%,710-770,685-740,32-34,17%,Not Considered,-,-,-,-,Jan 15,"$92,756",Not Reported,"$52,017",83%,,93%,Through Sophomore Year,"$84,905","$100,423","$1,253,000",96%,89%,92%,Presidential Scholarship; St. Martin de Porres Scholarship,"$72,214",Villanova,PA,40°/23°,64°/41°,87°/66°,66°/44°,116,205,"7,009",54%,46%,6%,7%,11%,68%,,2%
Virginia Commonwealth University (VCU),N/A,Not Reported,Not Reported,34%,3%,490-620,520-650,22-30,75%,Not Considered,-,-,-,-,-,"$40,563 (IS) / $63,037 (OS)",Not Reported,"$19,546",54%,,27%,None,,,,85%,46%,65%,,"$76,460",Richmond,VA,47°/28°,70°/45°,90°/68°,71°/47°,112,210,"21,210",63%,37%,23%,14%,12%,39%,,2%
Virginia Tech,N/A,Not Reported,Not Reported,41%,9%,640-740,640-710,28-32,66%,Not Considered,-,-,-,-,Jan 15,"$39,228 (IS) / $61,088 (OS)",Not Reported,"$9,044",55%,,33%,Through Freshman Year,"$67,377","$81,698","$1,087,000",92%,69%,87%,,"$78,488",Blacksburg,VA,42°/22°,64°/39°,83°/61°,66°/40°,124,215,"31,035",43%,57%,6%,13%,10%,58%,,4%
Wabash College,52%,7%,Not Reported,52%,7%,540-650,520-620,23-28,36%,Very Important,-,-,-,-,-,"$71,050",Not Reported,"$42,114",94%,,99%,Through Senior Year,,,,88%,71%,78%,,,Crawfordsville,IN,32°/17°,61°/40°,83°/63°,64°/42°,119,187,866,0%,100%,4%,1%,14%,71%,,6%
Wake Forest University,Not Reported,22%,22%,22%,26%,710-770,700-750,32-34,Not Reported,Considered,Nov 15,Jan 1,Nov 15,-,Jan 1,"$96,382",2%,"$22,262",96%,"$66,913",75%,Through Junior Year,"$67,722","$78,158","$1,055,000",93%,84%,89%,Guy T. Carswell Scholarship; Graylyn Scholarship; Nancy Susan Reynolds Scholarship; Stamps Scholarship,,Winston-Salem,NC,48°/27°,70°/45°,87°/67°,70°/47°,107.1,216,"5,490",55%,45%,6%,5%,10%,65%,,6%
Washington and Lee University,24%,20%,Not Reported,24%,20%,720-780,710-760,33-34,2%,Considered,-,-,-,-,Jan 1,"$95,970",Not Reported,"$68,548",100%,,74%,Through Junior Year,"$76,516","$94,810","$1,156,000",97%,89%,95%,The Johnson Scholarship,,Lexington,VA,46°/23°,70°/40°,88°/64°,70°/43°,102.8,218,"1,886",51%,49%,5%,5%,9%,68%,,8%
Washington College,12%,2%,Not Reported,12%,2%,560-680,580-710,27-31,30%,Important,-,-,-,-,-,"$78,820",Not Reported,"$2,465",91%,,84%,Through Senior Year,,,,85%,61%,71%,,,Chestertown,MD,41°/25°,65°/44°,87°/68°,68°/47°,113,211,923,56%,44%,9%,3%,10%,68%,,1%
Washington State University,5%,2%,Not Reported,5%,2%,490-640,500-630,18-27,82%,Not Considered,-,-,-,-,-,"$32,460 (IS) / $49,566 (OS)",Not Reported,"$14,064",64%,,26%,Through Freshman Year,,,,80%,41%,61%,,"$75,204",Pullman,WA,37°/26°,57°/36°,83°/50°,60°/36°,116,172,"21,455",53%,47%,3%,7%,19%,58%,,2%
Washington University in St. Louis (WashU),29%,28%,Not Reported,29%,28%,770-800,730-770,33-35,7%,Considered,Nov 18,Jan 13,-,-,Jan 2,"$97,995",2%,"$42,765",100%,"$71,612",69%,Through Sophomore Year,"$78,073","$86,182","$1,259,000",96%,85%,94%,Alexander S. Langsdorf Fellowship; Ampersand Scholarships; Annika Rodriguez Scholars Program; Conway/Proetz Scholarship in Art; Danforth Scholars Program; James W. Fitzgibbon Scholarship in Architecture; John B. Ervin Scholars Program; Olin Business School Distinguished Scholars Program,,Saint Louis,MO,40°/23°,67°/47°,89°/70°,69°/48°,102,202,"8,220",54%,46%,9%,21%,13%,40%,,9%
Wellesley College,43%,18%,Not Reported,43%,18%,730-790,730-770,33-35,4%,Considered,Nov 1,Jan 5,-,-,Jan 15,"$96,490",Not Reported,"$66,603",100%,,91%,Through Freshman Year,"$65,961","$84,803","$1,041,000",96%,78%,91%,,,Wellesley,MA,35°/16°,58°/36°,83°/61°,63°/39°,127,201,"2,407",100%,0%,8%,26%,14%,30%,,13%
Wentworth Institute of Technology,28%,3%,Not Reported,28%,3%,550-660,560-660,27-31,54%,Considered,-,-,-,-,-,"$68,158",Not Reported,"$29,480",83%,,58%,Through Sophomore Year,,,,83%,54%,70%,,,Boston,MA,36°/19°,57°/38°,83°/62°,62°/42°,132,201,"3,965",26%,74%,9%,9%,15%,57%,,4%
Wesleyan University,28%,14%,Not Reported,28%,14%,710-780,705-760,33-35,6%,Not Considered,-,-,-,-,Jan 1,"$96,696",Not Reported,"$71,834",100%,,99%,Through Senior Year,"$60,385","$73,897","$953,000",95%,81%,92%,,,Middletown,CT,36°/19°,60°/39°,84°/63°,63°/42°,119,190,"3,805",52%,48%,6%,9%,11%,54%,,10%
West Chester University of Pennsylvania,16%*,1%*,Not Reported,16%*,1%*,540-630*,560-640*,24-28*,Not Reported,Not Considered,-,-,-,-,-,"$33,580 (IS) / $45,572 (OS)",Not Reported,"$8,713",46%,,37%,None,,,,84%,53%,72%,,,West Chester,PA,38°/21°,62°/39°,85°/63°,65°/42°,119.5,201,"14,449",58%,42%,10%,3%,8%,73%,,0.30%
West Virginia University (WVU),55%,23%,Not Reported,55%,23%,490-590,510-620,20-26,24%,Not Considered,-,-,-,-,-,"$28,976 (IS) / $47,480 (OS)",Not Reported,"$14,123",62%,,Not Reported,Through Freshman Year,,,,83%,48%,64%,,"$60,061",Morgantown,WV,39°/22°,64°/40°,84°/63°,66°/43°,149,155,"18,206",51%,49%,3%,2%,5%,82%,,1%
Westmont College,27%,8%,Not Reported,27%,8%,600-700,630-740,25-31,14%,Considered,-,-,-,-,-,"$76,374",Not Reported,"$42,156",80%,,96%,Through Senior Year,,,,86%,64%,72%,,,Santa Barbara,CA,63°/43°,67°/49°,73°/58°,72°/53°,38,282,"1,312",61%,39%,3%,5%,23%,52%,,2%
Wheaton College (IL),35%,20%,Not Reported,35%,20%,610-730,650-740,28-32,Not Reported,Considered,-,-,-,-,-,"$65,740",Not Reported,"$18,193",76%,,91%,Through Senior Year,,,,92%,84%,87%,,,Wheaton,IL,31°/15°,60°/37°,84°/62°,63°/40°,119,189,"2,150",54%,46%,3%,9%,9%,67%,,4%
Wheaton College (MA),18%,2%,Not Reported,18%,2%,580-670,640-720,29-33,17%,Considered,-,-,-,-,-,"$86,300",Not Reported,"$45,947",86%,,93%,Through Sophomore Year,,,,83%,68%,76%,,,Norton,MA,37°/17°,58°/36°,83°/61°,62°/40°,117,201,"1,785",65%,35%,5%,3%,8%,70%,,4%
Whitman College,9%,7%,Not Reported,9%,7%,640-740,670-740,29-33,8%,Considered,-,-,-,-,-,"$78,332",Not Reported,"$51,114",98%,,70%,Through Sophomore Year,,,,89%,60%,81%,,,Walla Walla,WA,42°/29°,64°/41°,89°/59°,65°/41°,105,192,"1,561",57%,43%,3%,5%,13%,56%,,14%
Whittier College,10%*,5%*,Not Reported,10%*,5%*,590-690*,550-650*,24-30*,78%,Considered,-,-,-,-,-,"$71,170",Not Reported,"$46,691",83%,,52%,Through Junior Year,,,,68%,53%,63%,,,Whittier,CA,69°/47°,75°/53°,85°/64°,80°/58°,27,278,767,57%,43%,4%,4%,51%,19%,,13%
Willamette University,25%,12%,Not Reported,25%,12%,590-680,630-730,28-32,36%,Not Reported,-,-,-,-,-,"$75,378",Not Reported,"$39,311",85%,,68%,Through Sophomore Year,,,,84%,62%,73%,,,Salem,OR,47°/35°,61°/40°,81°/53°,64°/43°,151,157,"1,683",61%,39%,2%,4%,15%,65%,,2%
Williams College,23%,8%,7%,35%,17%,750-790,740-780,34-35,Not Reported,Not Considered,-,-,-,-,Jan 6,"$94,450",0%,$0,100%,"$76,769",92%,Through Junior Year,"$71,754","$88,665","$1,031,000",97%,71%,95%,,,Williamstown,MA,31°/12°,57°/34°,80°/57°,59°/37°,130,180,"2,101",53%,47%,6%,12%,14%,47%,,9%
Wofford College,26%,22%,Not Reported,26%,22%,590-663,608-680,27-31,Not Reported,Considered,-,-,-,-,-,"$79,196",Not Reported,"$46,076",89%,,90%,Through Freshman Year,,,,90%,78%,82%,,,Spartanburg,SC,53°/27°,75°/43°,91°/66°,74°/46°,109,221,"1,817",51%,49%,7%,2%,6%,79%,,2%
Worcester Polytechnic Institute (WPI),Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,,,41%,Considered,-,-,-,-,-,"$83,868",2%,"$36,218",82%,"$36,218",45%,Through Sophomore Year,"$85,038","$103,470","$1,308,000",93%,84%,89%,,,Worcester,MA,32°/14°,56°/34°,80°/59°,59°/38°,134,197,"5,558",33%,67%,3%,13%,9%,64%,,6%
Yale University,N/A,4%,4%,61%,25%,740-790,730-780,33-35,Not Reported,Not Considered,-,-,Nov 1,-,Jan 2,"$95,350",0.40%,"$27,333",100%,"$74,040",75%,Through Sophomore Year,"$81,765","$100,533","$1,370,000",99%,58%,97%,,,New Haven,CT,38°/21°,59°/39°,83°/64°,64°/44°,108,204,"6,814",51%,49%,9%,22%,17%,31%,,11%
Yeshiva University (YU),19%,16%,Not Reported,19%,16%,680-770,670-740,29-33,Not Reported,Considered,-,-,-,-,-,"$77,325",51%,"$25,536",90%,"$45,277",65%,Through Freshman Year,"$60,252","$71,353","$830,000",92%,81%,84%,,,New York,NY,39°/27°,61°/44°,85°/69°,65°/50°,116,234,"2,331",46%,54%,0%,0%,3%,56%,,8%
